listing_id,vin,make,model,year,trim,body_type,fuel_type,transmission,mileage,price,condition,location,seller_type,features
438,LV896ZLM7VRE16246,Maruti,Dzire,2024,,Crossover,Petrol,Automatic,14679,18189.0,good,"South Helenborough, WLS, UK",Private Party,"Adaptive Cruise Control, Android Auto, Heated Seats, Lane Keep Assist, Leather Seats"
439,WWGPKLZP21NF45410,Audi,A6,2024,Touring,Sedan,Diesel,Automatic,25115,31664.0,good,"Lacroix, NAQ, France",Private Party,"Apple CarPlay, Bluetooth, Fog Lights, Keyless Entry, LED Headlights, Lane Keep Assist, Leather Seats, Panoramic Roof"
440,A1AKTRC492KW12263,Volkswagen,Taigun,2018,Base,Convertible,Petrol,Manual,68785,5200.0,salvage,"Mendonça de Camargo, MG, Brazil",Dealer,"Adaptive Cruise Control, Alloy Wheels, Backup Camera, Blind Spot Monitor, Keyless Entry, Panoramic Roof, Sunroof, Ventilated Seats, Wireless Charging"
441,L1SBH19G7ESNU4957,Audi,Q3,2023,LTZ,Pickup,Petrol,Automatic,32499,33857.0,fair,"Joshuaborough, NB, Canada",Dealer,
442,9DEM1E9W849W44222,Mahindra,XUV700,2025,Titanium,Convertible,CNG,Automatic,0,26247.0,good,"Lacroix-sur-Guillet, NAQ, France",Dealer,"Alloy Wheels, Fog Lights, Heated Seats, Keyless Entry, LED Headlights, Leather Seats, Parking Sensors, Push Button Start, Sunroof"
443,M8KJH93052CF33128,Ford,F-150,2013,XLE,Pickup,CNG,Manual,276145,2609.0,excellent,"西東京市, Tokyo, Japan",Dealer,"Adaptive Cruise Control, Fog Lights, LED Headlights, Leather Seats, Navigation, Panoramic Roof, Parking Sensors, Ventilated Seats"
444,3L7A4VGC3J0658619,Honda,Amaze,2024,Sport,Coupe,Petrol,CVT,13557,25535.0,good,"Frostville, SCT, UK",Private Party,"Apple CarPlay, Bluetooth, Heated Seats, Keyless Entry, Navigation, Parking Sensors, Push Button Start, Sunroof"
445,DR30XA0L656C26938,Volkswagen,Jetta,2021,Long Range,Crossover,Petrol,Automatic,64619,12762.0,like new,"Sousa do Galho, RS, Brazil",Dealer,"Apple CarPlay, Blind Spot Monitor, Fog Lights, Leather Seats, Panoramic Roof"
446,Z5U1CTU27JNM28667,Nissan,Rogue,2014,Performance,Sedan,CNG,Manual,288662,1968.0,excellent,"Bischofswerda, NI, Germany",Certified Pre-Owned,"Android Auto, Bluetooth, LED Headlights, Lane Keep Assist, Sunroof, Wireless Charging"
447,4K3R5T6D64MLF9447,Mahindra,Bolero,2017,L,MPV,Electric,AMT,96188,3312.0,fair,"Erode, HR, India",Dealer,"Heated Seats, Keyless Entry, LED Headlights, Lane Keep Assist, Navigation, Sunroof, Ventilated Seats"
448,5NZYT936XHLRC9819,Audi,A4,2009,LX,Convertible,Diesel,Automatic,249744,2133.0,excellent,"North Olivia, QC, Canada",Private Party,"Bluetooth, Heated Seats, Keyless Entry, LED Headlights, Lane Keep Assist, Panoramic Roof, Parking Sensors, Push Button Start, Wireless Charging"
449,EN7Z4F8R6DW687331,Mahindra,Scorpio,2021,Base,SUV,Diesel,Manual,74977,11942.0,excellent,"Salmon, GES, France",Certified Pre-Owned,"Apple CarPlay, Blind Spot Monitor, Keyless Entry, LED Headlights, Panoramic Roof, Parking Sensors, Push Button Start"
450,6G03MWMF9U10T9897,Ford,Escape,2025,,Hatchback,Petrol,Manual,0,21170.0,good,"Whitefort, NL, Canada",Private Party,"Android Auto, Backup Camera, Heated Seats, Keyless Entry, Lane Keep Assist, Wireless Charging"
451,TK2ELEBW6AT113425,Tata,Punch,2016,,MPV,CNG,Automatic,204334,1986.0,excellent,"Madhyamgram, HR, India",Dealer,"Adaptive Cruise Control, Android Auto, Apple CarPlay, LED Headlights, Ventilated Seats"
452,Y6K9D59U4Y9XB5275,Nissan,Rogue,2009,Titanium,Convertible,Petrol,Automatic,117677,1501.0,good,"North Mark, NSW, Australia",Private Party,"Alloy Wheels, Android Auto, Backup Camera, Heated Seats, LED Headlights, Leather Seats, Panoramic Roof"
453,RB4XZJW42CTM50724,Maruti,Wagon R,2021,LT,MPV,Electric,Manual,50225,14505.0,new,"Sainte Célina, HDF, France",Private Party,"Blind Spot Monitor, Bluetooth, Heated Seats, Push Button Start, Sunroof"
454,5BVMCDB1X2F3J9171,Mahindra,Scorpio,2021,L,Van,Electric,Automatic,40653,11272.0,good,"Johannesburg, NC, South Africa",Certified Pre-Owned,"Android Auto, Apple CarPlay, Fog Lights, Parking Sensors, Wireless Charging"
455,92FGFV8L3ABVJ9970,Honda,Accord,2015,L,Sedan,Petrol,Automatic,126200,2314.0,excellent,"Cape Town, GP, South Africa",Dealer,"Alloy Wheels, Apple CarPlay, Backup Camera, Bluetooth, Heated Seats, Lane Keep Assist, Parking Sensors, Sunroof"
456,SWHLT86082VTC8134,Kia,Sonet,2017,EX,Sedan,Petrol,Manual,96510,4186.0,excellent,"Port Elizabeth, FS, South Africa",Dealer,"Android Auto, Apple CarPlay, Backup Camera, Navigation, Ventilated Seats, Wireless Charging"
457,3YUCZ0NU61G409274,Mercedes-Benz,E-Class,2017,EX,Van,Diesel,CVT,169832,6752.0,good,"Guntur, GJ, India",Dealer,"Apple CarPlay, Backup Camera, Blind Spot Monitor, Bluetooth, Leather Seats, Panoramic Roof, Push Button Start, Sunroof"
458,AYTASW3M92BUV8727,Audi,A4,2021,Trend,Convertible,Electric,Manual,29963,39108.0,like new,"Cavalcanti de Pastor, CE, Brazil",Dealer,"Adaptive Cruise Control, Heated Seats, Keyless Entry, Leather Seats, Navigation, Panoramic Roof, Push Button Start, Sunroof"
459,FXAG65BW8TMAJ3005,Chevrolet,Silverado,2024,LT,Pickup,Diesel,Manual,10990,36054.0,good,"Laurentown, NIR, UK",Dealer,"Apple CarPlay, Blind Spot Monitor, Fog Lights, LED Headlights, Panoramic Roof"
460,8TE9WSKK8NWLH8165,Maruti,Ertiga,2024,Sport,Convertible,Hybrid,Manual,13858,25581.0,excellent,"Jacksonton, SA, Australia",Private Party,
461,2R9TPG0A4UCD26648,Tesla,Model Y,2017,Platinum,Hatchback,Petrol,Automatic,198362,4920.0,new,"Hünfeld, TH, Germany",Private Party,"Alloy Wheels, Apple CarPlay, Fog Lights, LED Headlights, Navigation, Push Button Start, Sunroof"
462,L5RAUUHMXYX7B3871,Ford,Escape,2014,XSE,Crossover,Hybrid,Automatic,198009,2633.0,excellent,"Ilmenau, NW, Germany",Dealer,"Backup Camera, Heated Seats, Navigation, Sunroof"
463,JB4EXNEV709YR6423,Toyota,Tacoma,2007,,Van,CNG,Automatic,260000,1292.0,excellent,"Lake Juan, NB, Canada",Private Party,"Adaptive Cruise Control, Alloy Wheels, Backup Camera, Blind Spot Monitor, Fog Lights, Lane Keep Assist, Navigation, Sunroof"
464,PM0ECDJ86BU3T6404,Audi,A6,2018,,SUV,Petrol,Manual,80822,9660.0,fair,"da Conceição de Novaes, RS, Brazil",Dealer,"Backup Camera, Bluetooth, Sunroof, Ventilated Seats"
465,D43LTUPM52Y8W7022,Honda,Amaze,2015,Base,Hatchback,Petrol,Manual,137331,2880.0,excellent,"Lévêque, GES, France",Private Party,"Apple CarPlay, Lane Keep Assist, Navigation, Panoramic Roof, Push Button Start"
466,LC0TGE216H5KM5532,Tesla,Model 3,2016,Trend,Sedan,Petrol,Manual,173144,5737.0,excellent,"香取郡神崎町, Kanagawa, Japan",Private Party,"Apple CarPlay, LED Headlights, Lane Keep Assist, Panoramic Roof, Sunroof, Ventilated Seats"
467,X9BK99RW5ATCD6577,BMW,5 Series,2019,LX,MPV,Petrol,Manual,158006,7406.0,fair,"Bulandshahr, RJ, India",Dealer,"Android Auto, Apple CarPlay, Heated Seats, Panoramic Roof, Parking Sensors, Sunroof, Ventilated Seats"
468,NEEMGUYJ4M53C7422,Nissan,Sentra,2020,Limited,Hatchback,Diesel,Automatic,51642,7700.0,excellent,"Hudsonstad, SCT, UK",Certified Pre-Owned,"Blind Spot Monitor, Heated Seats, Lane Keep Assist, Ventilated Seats"
469,X3CCHXUN59L7R5287,Volkswagen,Tiguan,2020,Touring,Convertible,Diesel,Automatic,40646,12356.0,fair,"Santos do Sul, PR, Brazil",Private Party,"Backup Camera, Blind Spot Monitor, Bluetooth, Heated Seats, LED Headlights, Parking Sensors, Ventilated Seats, Wireless Charging"
470,YTSXB19V9GJX98533,Hyundai,Creta,2025,Limited,MPV,Petrol,Manual,0,28817.0,excellent,"東大和市, Tokyo, Japan",Private Party,"Android Auto, Backup Camera, Blind Spot Monitor, LED Headlights, Lane Keep Assist, Panoramic Roof, Parking Sensors, Ventilated Seats"
471,LGM2V8ED04JL88805,BMW,3 Series,2019,XLE,Crossover,Petrol,Manual,68695,10241.0,fair,"Reevesstad, ON, Canada",Certified Pre-Owned,"Adaptive Cruise Control, Alloy Wheels, Android Auto, Apple CarPlay, Lane Keep Assist, Parking Sensors, Wireless Charging"
472,8S0PUUVZ7MAPS8213,Nissan,Altima,2015,,Pickup,Petrol,Manual,142860,4066.0,new,"Camargo, MG, Brazil",Dealer,"Alloy Wheels, Apple CarPlay, Backup Camera, Blind Spot Monitor, Bluetooth, Heated Seats, Keyless Entry, Push Button Start"
473,1HNT1PRV926J88979,Chevrolet,Trax,2023,LX,Coupe,Hybrid,CVT,21127,20268.0,good,"Kevinborough, ON, Canada",Private Party,"Adaptive Cruise Control, Android Auto, Backup Camera, Blind Spot Monitor, Heated Seats, Keyless Entry, Parking Sensors, Sunroof, Ventilated Seats"
474,NX00RSEV2UY488662,Mercedes-Benz,C-Class,2019,XLE,Convertible,Hybrid,Automatic,83477,7944.0,salvage,"Johnview, QC, Canada",Dealer,"Adaptive Cruise Control, Alloy Wheels, Android Auto, Blind Spot Monitor, Bluetooth, Heated Seats, Keyless Entry, Leather Seats"
475,WNLAU21G31UAV7321,Honda,Civic,2013,Performance,Pickup,CNG,CVT,287758,2289.0,good,"いすみ市, Kyoto, Japan",Dealer,
476,YXXTDPZD9ST9W7679,Ford,Maverick,2013,Platinum,Sedan,Petrol,AMT,219956,1491.0,good,"Raurkela Industrial Township, TN, India",Private Party,"Adaptive Cruise Control, Android Auto, Apple CarPlay, Blind Spot Monitor, LED Headlights, Leather Seats, Panoramic Roof, Ventilated Seats"
477,4PCATADA7F0Y80044,Tesla,Model 3,2014,,Pickup,Plug-in Hybrid,Manual,82641,6497.0,fair,"Bloemfontein, LP, South Africa",Dealer,"Adaptive Cruise Control, Android Auto, Apple CarPlay, Blind Spot Monitor, Leather Seats, Panoramic Roof, Parking Sensors, Sunroof"
478,MWU6H4WW2KUE72860,Chevrolet,Trax,2025,Titanium,MPV,Petrol,Manual,0,23809.0,fair,"da Rocha do Amparo, RJ, Brazil",Dealer,"Alloy Wheels, Apple CarPlay, Keyless Entry, LED Headlights, Lane Keep Assist, Parking Sensors, Wireless Charging"
479,XNUC64WU6D7CF2766,Mahindra,Bolero,2013,LT,Convertible,Petrol,Automatic,185657,1828.0,like new,"Marques do Oeste, MG, Brazil",Dealer,"Bluetooth, Heated Seats, Navigation, Panoramic Roof"
480,X37JJ3HA9VESV3490,Mahindra,Scorpio,2019,LX,Hatchback,Electric,Automatic,71734,4731.0,good,"Gomezfort, VIC, Australia",Dealer,"Android Auto, Blind Spot Monitor, Heated Seats, Leather Seats, Panoramic Roof, Sunroof"
481,6Z16TMTH219AL3769,Tata,Harrier,2016,Trend,Hatchback,Hybrid,AMT,72468,2253.0,good,"Marques, MG, Brazil",Dealer,"Android Auto, Bluetooth, Sunroof, Ventilated Seats"
482,KZ1DGWE99YZZA8272,Skoda,Kushaq,2010,L,Convertible,Diesel,CVT,230870,1237.0,fair,"Garcia, CE, Brazil",Private Party,"Android Auto, Fog Lights, Lane Keep Assist, Panoramic Roof, Wireless Charging"
483,VMWR1AZ66KP083416,Nissan,Magnite,2020,LTZ,MPV,Diesel,Manual,58060,10245.0,good,"Rémy-la-Forêt, OCC, France",Dealer,"Adaptive Cruise Control, Backup Camera, Bluetooth, Fog Lights, Keyless Entry, LED Headlights, Leather Seats, Panoramic Roof"
484,MTGR8KXB09H2C5274,Skoda,Slavia,2024,,SUV,Petrol,Automatic,17989,26732.0,good,"Leipziger Land, BB, Germany",Dealer,"Bluetooth, LED Headlights, Lane Keep Assist, Parking Sensors, Sunroof, Ventilated Seats"
485,WZVRM64V5H16S9523,Hyundai,Elantra,2023,Base,Coupe,Electric,CVT,22717,24215.0,good,"South Gregorybury, CO, US",Private Party,"Alloy Wheels, Blind Spot Monitor, Heated Seats, Panoramic Roof, Ventilated Seats"
486,6HAXN6DZXSHFJ4858,Toyota,Corolla,2017,Limited,SUV,Diesel,Manual,185292,4771.0,good,"Blanchard, IDF, France",Private Party,"Blind Spot Monitor, Fog Lights, Parking Sensors, Push Button Start, Sunroof"
487,19AUFH269U7EY1400,Honda,Accord,2022,L,Hatchback,CNG,Automatic,41478,11749.0,excellent,"Johannesburg, GP, South Africa",Dealer,"Adaptive Cruise Control, Apple CarPlay, Backup Camera, Blind Spot Monitor, Fog Lights, Parking Sensors, Ventilated Seats, Wireless Charging"
488,EC07HJLT18DFE4619,Kia,Sorento,2005,Base,Pickup,Petrol,Automatic,335246,1223.0,good,"Grevenbroich, SL, Germany",Private Party,"Adaptive Cruise Control, Bluetooth, Keyless Entry, LED Headlights, Leather Seats, Panoramic Roof, Ventilated Seats"
489,NBL03K7V276TY9584,Tata,Harrier,2024,XSE,Van,Petrol,Manual,20720,13433.0,fair,"Bally, KL, India",Dealer,"Android Auto, Blind Spot Monitor, Fog Lights, Leather Seats, Panoramic Roof"
490,9NLLMRWM9GDTB5356,Honda,CR-V,2015,LTZ,Hatchback,Hybrid,Manual,264102,1623.0,good,"Surendranagar Dudhrej, TN, India",Private Party,"Blind Spot Monitor, Keyless Entry, LED Headlights, Lane Keep Assist, Panoramic Roof, Push Button Start"
491,5YMA6Z3P62T1R0881,Kia,Sonet,2015,Limited,Pickup,Petrol,Manual,153180,3408.0,good,"New Jorge, WA, Australia",Dealer,"Alloy Wheels, Keyless Entry, LED Headlights, Leather Seats, Parking Sensors, Push Button Start, Sunroof"
492,2B5NRWVW5TU0L5970,Audi,A6,2014,Platinum,Hatchback,Hybrid,Automatic,153679,1787.0,fair,"Davisfurt, AB, Canada",Dealer,"Adaptive Cruise Control, Apple CarPlay, Blind Spot Monitor, Bluetooth, Fog Lights, LED Headlights, Lane Keep Assist"
493,FPWZZ2WCXXNBK3529,Skoda,Octavia,2018,Premium,Coupe,CNG,Automatic,180556,3891.0,fair,"Viersen, HE, Germany",Private Party,"Backup Camera, Fog Lights, Heated Seats, Parking Sensors"
494,DSWTYARY8Y2HE8615,Nissan,Sentra,2018,LX,Hatchback,Diesel,Manual,81464,4351.0,good,"South Corey, QC, Canada",Private Party,"Alloy Wheels, Android Auto, Bluetooth, Keyless Entry, Navigation, Sunroof"
495,2NNN35W99YY472898,Audi,A6,2010,Touring,Hatchback,Hybrid,Automatic,230154,1278.0,good,"横浜市栄区, Aichi, Japan",Private Party,
496,02U7BJZK8D0PH3757,Honda,City,2020,XSE,Coupe,Petrol,CVT,45101,12470.0,excellent,"Pretoria, WC, South Africa",Dealer,"Blind Spot Monitor, Bluetooth, Heated Seats, Parking Sensors, Ventilated Seats"
497,6E2ETWD513EB59823,Ford,Explorer,2022,Limited,Crossover,CNG,Manual,79852,11852.0,fair,"Bourdon, NAQ, France",Private Party,
498,XZH0ZDCP03ZMD5115,Volkswagen,Jetta,2022,XSE,SUV,Hybrid,Automatic,68281,21920.0,,"Beilngries, BE, Germany",Dealer,"Apple CarPlay, Blind Spot Monitor, Bluetooth, Keyless Entry, Push Button Start, Ventilated Seats, Wireless Charging"
499,SGHWKY1G2AYY47821,Honda,Civic,2012,,Hatchback,Hybrid,Manual,210577,1232.0,good,"St. Christopherland, NT, Australia",Dealer,"Adaptive Cruise Control, Alloy Wheels, Android Auto, Blind Spot Monitor, Bluetooth, Heated Seats, Panoramic Roof, Push Button Start, Sunroof"
500,4NVZVYL35AZCD8497,Kia,Seltos,2010,Touring,Coupe,CNG,Automatic,233108,1214.0,fair,"Shivpuri, TN, India",Dealer,"Adaptive Cruise Control, Alloy Wheels, Bluetooth, Heated Seats, Panoramic Roof, Sunroof, Wireless Charging"
501,WTR2L0MV6XJZ81720,Tesla,Model Y,2018,L,Pickup,Petrol,Automatic,59504,17712.0,excellent,"Cape Town, KZN, South Africa",Dealer,"Apple CarPlay, Blind Spot Monitor, Fog Lights, Leather Seats, Push Button Start, Wireless Charging"
502,SE5ENHKS5K93R8921,Kia,Sorento,2020,LE,Pickup,Hybrid,Automatic,55470,16753.0,excellent,"Kaurfurt, WLS, UK",Dealer,"Alloy Wheels, Android Auto, Bluetooth, Panoramic Roof"
503,MWMJ0CTL0BJ5V5045,Hyundai,Tucson,2018,Touring,Convertible,CNG,Manual,129073,8329.0,good,"Hettstedt, BW, Germany",Dealer,"Android Auto, Backup Camera, Blind Spot Monitor, Fog Lights, LED Headlights, Navigation, Panoramic Roof, Parking Sensors, Ventilated Seats"
504,LH71ZVZA1J8XJ9429,Chevrolet,Silverado,2011,EX,Convertible,Diesel,Automatic,119140,1934.0,good,"Nascimento do Oeste, CE, Brazil",Dealer,"Android Auto, Apple CarPlay, Blind Spot Monitor, Fog Lights, Lane Keep Assist, Panoramic Roof, Parking Sensors, Sunroof"
505,GKPSEBY34VBT44539,Mahindra,Scorpio,2016,,Van,Plug-in Hybrid,CVT,73239,3901.0,excellent,"Pretoria, MP, South Africa",Private Party,"Adaptive Cruise Control, Keyless Entry, Lane Keep Assist, Ventilated Seats, Wireless Charging"
506,7FPZW9GS3AHJM7619,Ford,Maverick,2013,Touring,Crossover,Electric,Manual,123451,2137.0,excellent,"East London, NW, South Africa",Certified Pre-Owned,"Alloy Wheels, Backup Camera, Fog Lights, Heated Seats, Navigation, Parking Sensors, Ventilated Seats"
507,7YXRUBNX3FKTS0972,Honda,Amaze,2012,Titanium,SUV,Petrol,Manual,171592,2232.0,new,"Port Eric, CO, US",Private Party,"Alloy Wheels, Android Auto, Apple CarPlay, Backup Camera, Bluetooth, Lane Keep Assist, Navigation"
508,SLVNNWPW317VH4168,Skoda,Slavia,2017,LT,Sedan,Electric,Automatic,61594,2877.0,,"Vieira, RJ, Brazil",Private Party,"Apple CarPlay, Backup Camera, Fog Lights, Lane Keep Assist, Leather Seats, Panoramic Roof, Ventilated Seats, Wireless Charging"
509,7XY3N13L13K9P9991,Ford,F-150,2013,Trend,Van,Electric,Automatic,143126,1570.0,good,"Kellerbury, NT, Australia",Certified Pre-Owned,"Adaptive Cruise Control, Android Auto, Backup Camera, Bluetooth, Fog Lights, Lane Keep Assist"
510,DLZYWAR28485C6335,Nissan,Rogue,2015,Premium,Van,Hybrid,Automatic,153654,1996.0,fair,"New Kathyton, GA, US",Dealer,"Backup Camera, Bluetooth, Keyless Entry, Lane Keep Assist, Navigation, Push Button Start, Sunroof, Ventilated Seats"
511,DATS7P9X36LR32159,BMW,X5,2012,Long Range,Hatchback,Petrol,Automatic,185035,1709.0,excellent,"Brittanyburgh, QLD, Australia",Dealer,"Adaptive Cruise Control, Apple CarPlay, Bluetooth, Ventilated Seats, Wireless Charging"
512,HP593BE87RWDX5937,Tesla,Model 3,2018,Sport,Pickup,Diesel,Automatic,97660,9891.0,fair,"North Kyleport, ENG, UK",Dealer,
513,6CLBZE017ETD45675,Audi,A6,2010,,MPV,Plug-in Hybrid,Manual,165267,1939.0,fair,"いすみ市, Kanagawa, Japan",Dealer,"Apple CarPlay, Blind Spot Monitor, Leather Seats, Navigation, Parking Sensors"
514,SKEB6V0E9486U6471,Mahindra,XUV700,2018,L,SUV,Hybrid,CVT,148897,5664.0,new,"Bremen, BW, Germany",Private Party,"Alloy Wheels, Android Auto, Apple CarPlay, Heated Seats, Keyless Entry, LED Headlights, Ventilated Seats, Wireless Charging"
515,81WD2VGG4CSTH3549,Maruti,Wagon R,2021,Trend,Crossover,CNG,Automatic,85298,9185.0,good,"Charpentier-sur-Lecomte, NAQ, France",Dealer,"Adaptive Cruise Control, Alloy Wheels, Apple CarPlay, Fog Lights, Keyless Entry, Navigation, Parking Sensors, Wireless Charging"
516,ZT9K31F634L5C3025,Honda,Civic,2018,XLE,Van,Diesel,Automatic,182795,4130.0,good,"Freising, SN, Germany",Private Party,"Android Auto, Blind Spot Monitor, Heated Seats, Lane Keep Assist, Navigation, Panoramic Roof, Parking Sensors, Wireless Charging"
517,5SDZZZEH4PPZY6740,Honda,Accord,2013,SE,Convertible,Diesel,Automatic,144916,3961.0,like new,"山武郡横芝光町, Tokyo, Japan",Certified Pre-Owned,"Alloy Wheels, Blind Spot Monitor, Bluetooth, Fog Lights, Keyless Entry, Lane Keep Assist, Navigation, Push Button Start"
518,92JJT4GU88GVL1683,Hyundai,Elantra,2017,L,Van,Petrol,Automatic,156181,4387.0,good,"Osterode am Harz, MV, Germany",Dealer,"Android Auto, Backup Camera, Keyless Entry, Lane Keep Assist, Sunroof"
519,YXW2RR7D57LGT0825,BMW,3 Series,2017,Limited,Sedan,Petrol,Automatic,127268,5250.0,excellent,"Lewismouth, SK, Canada",Private Party,"Adaptive Cruise Control, Alloy Wheels, Fog Lights, Heated Seats, Lane Keep Assist, Parking Sensors, Sunroof, Ventilated Seats, Wireless Charging"
520,ZA5L05451PDR68960,Kia,Sonet,2018,LTZ,Coupe,Diesel,Automatic,59038,7768.0,good,"Geraldinefort, NIR, UK",Dealer,"Apple CarPlay, Backup Camera, Blind Spot Monitor, Fog Lights, Keyless Entry, Navigation"
521,UFNWX0XJ6ZLHY3413,Chevrolet,Trax,2019,,Sedan,Petrol,Automatic,115801,6912.0,good,"Sainte Guy, CVL, France",Certified Pre-Owned,"Adaptive Cruise Control, Apple CarPlay, Backup Camera, Bluetooth, Fog Lights, Keyless Entry, Leather Seats, Navigation, Parking Sensors"
522,P1ZR7ARX0B6L64400,Skoda,Slavia,2024,Sport,Coupe,Electric,Manual,7861,27552.0,fair,"Jillland, QC, Canada",Private Party,"Adaptive Cruise Control, Android Auto, Fog Lights, LED Headlights"
523,WBEMMGB04HSTX6563,Hyundai,Elantra,2016,Trend,Coupe,Petrol,CVT,137311,2785.0,good,"Davisborough, VIC, Australia",Dealer,"Adaptive Cruise Control, Apple CarPlay, Blind Spot Monitor, Heated Seats, Keyless Entry, Leather Seats, Navigation, Ventilated Seats, Wireless Charging"
524,7N1UVA203A0TR5489,Volkswagen,Taigun,2021,SE,SUV,Petrol,Automatic,48642,17219.0,excellent,"Fosterside, MI, US",Private Party,"Adaptive Cruise Control, Navigation, Panoramic Roof, Push Button Start, Wireless Charging"
525,5L4S25Z73MRC32072,Nissan,Sentra,2025,Base,Pickup,Petrol,CVT,0,47326.0,excellent,"Johannesburg, KZN, South Africa",Dealer,
526,AN16X67C5Z3L34970,Kia,Sportage,2016,LE,Hatchback,Hybrid,Manual,208932,2048.0,excellent,"Dupré, IDF, France",Dealer,"Blind Spot Monitor, LED Headlights, Lane Keep Assist, Leather Seats, Parking Sensors, Push Button Start, Sunroof, Ventilated Seats"
527,9R5GMKKH5AGCP2829,Tata,Nexon,2021,Sport,Van,Hybrid,Automatic,66704,7325.0,good,"Amandachester, NSW, Australia",Dealer,"Android Auto, Fog Lights, Lane Keep Assist, Navigation, Panoramic Roof"
528,RV1A9KVS7YS3R0423,Nissan,Sentra,2013,,Sedan,Petrol,Automatic,142571,1709.0,excellent,"North Gemma, NIR, UK",Dealer,"Adaptive Cruise Control, Blind Spot Monitor, Fog Lights, Lane Keep Assist, Panoramic Roof, Sunroof, Ventilated Seats"
529,54Y6H2HE9RFT83679,Nissan,Altima,2018,Premium,SUV,Petrol,Manual,133124,6240.0,fair,"Cottbus, SH, Germany",Certified Pre-Owned,"Alloy Wheels, Backup Camera, Fog Lights, Heated Seats, Leather Seats, Wireless Charging"
530,JZYN4UP87J2BL9225,Skoda,Octavia,2018,Performance,Crossover,Petrol,CVT,80775,7284.0,excellent,"Jimenezchester, CA, US",Dealer,"Adaptive Cruise Control, Bluetooth, Lane Keep Assist, Push Button Start, Sunroof"
531,T4X4YCG03U8JU1499,Kia,Sonet,2015,Titanium,MPV,Diesel,Manual,178116,2919.0,good,"Osterode am Harz, SL, Germany",Dealer,"Alloy Wheels, Apple CarPlay, Lane Keep Assist, Navigation"
532,K8SYL4X38VMRA7383,Audi,A6,2013,XSE,SUV,Electric,Automatic,91350,2848.0,salvage,"Hollowaymouth, NB, Canada",Dealer,"Alloy Wheels, Bluetooth, Fog Lights, Heated Seats, Keyless Entry, Leather Seats, Panoramic Roof, Parking Sensors"
533,PGRR11ET51WJM6943,Tata,Nexon,2012,,Hatchback,Petrol,Manual,182203,1317.0,fair,"Port Davidhaven, WA, US",Dealer,
534,VX3HW6FM0GJNJ1154,Chevrolet,Trax,2017,,Convertible,Diesel,Manual,63068,8992.0,excellent,"Port Ian, SA, Australia",Private Party,"Apple CarPlay, Blind Spot Monitor, LED Headlights, Ventilated Seats"
535,YG9PHN55X237F6180,Mercedes-Benz,C-Class,2018,XLE,Van,Hybrid,CVT,139682,5540.0,salvage,"Benoit, NAQ, France",Dealer,"Alloy Wheels, Bluetooth, Fog Lights, Lane Keep Assist, Leather Seats, Parking Sensors, Wireless Charging"
536,F2XU3HW3XN6PS9154,Maruti,Ertiga,2012,LE,MPV,Petrol,Automatic,235335,1175.0,good,"三宅島三宅村, Aichi, Japan",Private Party,"Backup Camera, Bluetooth, Keyless Entry, Sunroof"
537,Z00V4E0E851BS0937,Kia,Sonet,2013,Sport,MPV,Diesel,Manual,224293,1640.0,good,"富里市, Kyoto, Japan",Dealer,"Backup Camera, Blind Spot Monitor, Bluetooth, Fog Lights, Heated Seats, Leather Seats, Panoramic Roof, Push Button Start, Ventilated Seats"
538,5WG7Z37Y7B9VY4403,Mahindra,XUV700,2025,Titanium,Pickup,Petrol,Automatic,0,29882.0,good,"Marymouth, VIC, Australia",Private Party,"Alloy Wheels, Android Auto, Backup Camera, Bluetooth, Lane Keep Assist, Navigation, Push Button Start, Ventilated Seats"
539,KTZWBZ6X119430845,Nissan,Magnite,2018,Platinum,MPV,Petrol,Automatic,63520,5754.0,fair,"Lake Darlene, GA, US",Dealer,"Adaptive Cruise Control, Alloy Wheels, Apple CarPlay, Backup Camera, Bluetooth, LED Headlights, Lane Keep Assist, Navigation, Wireless Charging"
540,GYE8PHZMX1ZUJ3244,Nissan,Altima,2010,Titanium,Van,Hybrid,Manual,229526,1153.0,good,"Michaeltown, WA, Australia",Private Party,"Alloy Wheels, Android Auto, Apple CarPlay, Backup Camera, Keyless Entry, Leather Seats, Navigation, Sunroof, Wireless Charging"
541,6LN2G0AH2G8Z05147,Maruti,Swift,2023,SE,SUV,Diesel,Manual,31501,20225.0,new,"Santos de Goiás, AM, Brazil",Dealer,"Alloy Wheels, Backup Camera, LED Headlights, Wireless Charging"
542,41YWZCA0428954181,Volkswagen,Tiguan,2014,Touring,Hatchback,Petrol,Automatic,175127,1538.0,like new,"Jasontown, MB, Canada",Dealer,"Alloy Wheels, Android Auto, Apple CarPlay, Bluetooth, Fog Lights, Parking Sensors, Sunroof, Wireless Charging"
543,NUSSY5HW0AN8A1409,Mahindra,XUV700,2012,Titanium,Crossover,Petrol,Manual,295708,1195.0,fair,"Warendorf, MV, Germany",Private Party,"Apple CarPlay, Fog Lights, LED Headlights, Lane Keep Assist, Navigation, Push Button Start, Sunroof"
544,SXLDRBW75KN155599,Chevrolet,Trax,2018,SE,Sedan,Petrol,Automatic,136483,4477.0,fair,"Eisenach, RP, Germany",Dealer,"Adaptive Cruise Control, Alloy Wheels, Backup Camera, Bluetooth, LED Headlights, Lane Keep Assist, Leather Seats, Parking Sensors, Wireless Charging"
